Luas Tanah (m²),Luas Bangunan (m²),Kamar Tidur,Kamar Mandi,Daerah_Balikpapan Barat,Daerah_Balikpapan Kota,Daerah_Balikpapan Selatan,Daerah_Balikpapan Tengah,Daerah_Balikpapan Timur,Daerah_Balikpapan Utara,Harga (IDR)
250,250,1,1,0,0,1,0,0,0,1120000000.0
90,60,2,1,0,0,0,1,0,0,925000000.0
100,68,2,2,0,0,1,0,0,0,575000000.0
92,72,3,2,0,0,0,1,0,0,695700000.0
144,280,3,2,0,0,1,0,0,0,1650000000.0
213,90,3,1,0,0,1,0,0,0,795000000.0
120,145,4,2,0,0,1,0,0,0,1250000000.0
120,250,3,2,0,0,1,0,0,0,1400000000.0
165,220,4,2,0,0,0,0,0,1,1650000000.0
180,320,4,4,0,0,0,0,0,1,1850000000.0
320,90,3,4,0,0,1,0,0,0,2500000000.0
120,120,3,3,0,0,1,0,0,0,1790000000.0
204,190,4,4,0,0,1,0,0,0,4500000000.0
165,300,3,3,0,0,0,0,0,1,2600000000.0
179,160,3,2,0,0,0,0,0,1,1150000000.0
120,120,3,2,0,0,1,0,0,0,1700000000.0
124,60,3,1,0,0,0,0,0,1,475000000.0
160,100,4,3,0,0,1,0,0,0,1700000000.0
121,45,2,1,0,0,0,0,0,1,450000000.0
155,82,4,2,0,0,1,0,0,0,1800000000.0
120,45,2,1,0,0,1,0,0,0,1400000000.0
168,158,4,3,0,0,1,0,0,0,1300000000.0
165,330,3,3,0,0,0,0,0,1,2600000000.0
160,96,3,2,0,0,0,0,0,1,2000000000.0
234,293,7,3,0,0,1,0,0,0,3250000000.0
307,250,4,2,0,0,0,0,0,1,2500000000.0
204,250,4,4,0,0,0,0,0,1,1900000000.0
216,170,4,2,0,0,0,0,0,1,1750000000.0
120,120,2,1,0,0,0,0,0,1,450000000.0
84,36,2,1,0,0,0,0,0,1,330000000.0
96,40,2,1,0,0,0,0,0,1,450000000.0
140,45,2,1,0,0,0,0,0,1,470000000.0
96,45,2,1,0,0,0,0,0,1,550000000.0
105,105,4,3,0,0,1,0,0,0,2500000000.0
156,156,4,2,0,0,0,0,0,1,760000000.0
84,84,2,1,0,0,1,0,0,0,650000000.0
72,72,3,2,0,0,1,0,0,0,1900000000.0
198,198,3,2,0,0,1,0,0,0,950000000.0
216,216,3,3,0,0,1,0,0,0,1600000000.0
135,135,3,3,0,0,0,0,0,1,1300000000.0
260,260,5,3,0,0,1,0,0,0,1200000000.0
120,120,2,1,0,0,0,0,0,1,750000000.0
210,210,5,3,0,0,1,0,0,0,2850000000.0
332,332,4,2,0,0,1,0,0,0,2300000000.0
120,45,2,1,0,0,0,0,0,1,450000000.0
296,296,5,3,0,0,1,0,0,0,2800000000.0
200,200,4,3,0,0,1,0,0,0,1300000000.0
180,180,5,4,0,0,1,0,0,0,2700000000.0
104,50,2,1,0,0,1,0,0,0,700000000.0
96,36,2,1,0,0,0,0,0,1,380000000.0
318,200,3,3,0,0,0,0,0,1,3000000000.0
60,220,3,3,0,0,1,0,0,0,2990000000.0
27,105,3,3,0,0,0,0,0,1,2500000000.0
6,150,3,2,0,0,0,0,0,1,1750000000.0
38,84,2,1,0,0,1,0,0,0,795000000.0
89,209,3,3,0,0,1,0,0,0,2100000000.0
4,204,6,3,0,0,0,0,0,1,1800000000.0
18,98,3,2,0,0,1,0,0,0,1880000000.0
120,103,3,1,0,0,0,0,0,1,1800000000.0
225,225,3,3,0,0,1,0,0,0,1600000000.0
125,135,3,3,0,0,0,1,0,0,880000000.0
96,104,3,2,0,0,1,0,0,0,1500000000.0
210,245,5,4,0,0,0,1,0,0,3200000000.0
119,91,3,2,0,0,0,0,1,0,1950000000.0
105,119,3,2,0,0,0,0,1,0,2700000000.0
145,120,3,2,0,0,1,0,0,0,1050000000.0
220,340,5,4,0,0,0,1,0,0,3350000000.0
72,50,3,2,0,0,1,0,0,0,1220000000.0
150,230,5,2,0,0,1,0,0,0,1800000000.0
150,219,3,2,0,0,1,0,0,0,2700000000.0
120,140,3,2,0,0,1,0,0,0,1250000000.0
105,56,2,1,0,0,0,1,0,0,750000000.0
96,36,2,1,0,0,1,0,0,0,720000000.0
180,250,4,4,0,1,0,0,0,0,1550000000.0
157,111,3,2,0,0,0,0,0,1,1200000000.0
205,180,3,4,0,0,1,0,0,0,1730000000.0
340,200,8,8,0,0,1,0,0,0,2500000000.0
78,47,2,2,0,0,0,0,0,1,950000000.0
144,207,6,3,0,0,0,1,0,0,1250000000.0
160,120,3,2,0,0,0,0,0,1,1500000000.0
152,100,4,3,0,0,1,0,0,0,1700000000.0
150,104,3,2,0,0,1,0,0,0,2000000000.0
200,105,4,3,0,0,0,0,0,1,2500000000.0
240,110,4,3,0,0,0,1,0,0,2750000000.0
145,162,5,4,0,0,0,0,1,0,2750000000.0
90,138,3,3,0,0,0,0,1,0,885000000.0
78,47,2,2,0,0,0,0,0,1,1150000000.0
120,150,4,2,0,0,1,0,0,0,1180000000.0
311,225,4,3,0,0,0,0,1,0,2700000000.0
90,54,2,2,0,0,1,0,0,0,850000000.0
205,180,3,2,0,0,1,0,0,0,1730000000.0
95,60,3,1,0,0,1,0,0,0,850000000.0
120,130,4,2,0,0,1,0,0,0,900000000.0
243,180,4,4,0,0,0,1,0,0,2700000000.0
112,45,2,1,0,0,0,1,0,0,1350000000.0
252,204,4,2,0,0,1,0,0,0,1850000000.0
90,90,3,2,0,1,0,0,0,0,1150000000.0
110,157,3,2,0,0,0,0,1,0,800000000.0
180,120,3,2,0,0,1,0,0,0,1250000000.0
150,100,2,1,0,0,1,0,0,0,515000000.0
90,40,2,1,0,1,0,0,0,0,950000000.0
130,190,4,3,0,0,0,0,0,1,1450000000.0
