daerah,harga,kamar_tidur,kamar_mandi,luas_tanah_m²,luas_bangunan_m²
"Balikpapan Kota,","7,90M",5,5,264,306
"Balikpapan Selatan,","1,12M",1,1,250,250
"Balikpapan Tengah,",925Jt,2,1,90,60
"Balikpapan Selatan,",575Jt,2,2,100,68
"Balikpapan Tengah,","695,70Jt",3,2,92,72
"Balikpapan Selatan,","1,65M",3,2,144,280
"Balikpapan Selatan,",795Jt,3,1,213,90
"Balikpapan Utara,","5,50M",6,7,400,350
"Balikpapan Timur,",Rp 3M,5,4,420,400
"Balikpapan Selatan,",Rp 5M,5,3,256,211
"Balikpapan Selatan,","1,25M",4,2,120,145
"Balikpapan Selatan,","1,40M",3,2,120,250
"Balikpapan Utara,","1,65M",4,2,165,220
"Balikpapan Utara,","1,85M",4,4,180,320
"Balikpapan Selatan,","2,50M",3,4,320,90
"Balikpapan Selatan,","5,50M",4,4,374,90
"Balikpapan Selatan,","1,79M",3,3,120,120
"Balikpapan Selatan,","4,50M",4,4,204,190
"Balikpapan Utara,","2,60M",3,3,165,300
"Balikpapan Utara,","1,15M",3,2,179,160
"Balikpapan Selatan,","1,70M",3,2,120,120
"Balikpapan Utara,",475Jt,3,1,124,60
"Balikpapan Selatan,","1,70M",4,3,160,100
"Balikpapan Utara,",450Jt,2,1,121,45
"Balikpapan Selatan,","1,80M",4,2,155,82
"Balikpapan Selatan,","1,40M",2,1,120,45
"Balikpapan Selatan,","1,30M",4,3,168,158
"Balikpapan Utara,","2,60M",3,3,165,330
"Balikpapan Utara,",Rp 2M,3,2,160,96
"Balikpapan Selatan,","3,25M",7,3,234,293
"Balikpapan Utara,","2,50M",4,2,307,250
"Balikpapan Utara,","1,90M",4,4,204,250
"Balikpapan Selatan,",Rp 4M,4,4,260,420
"Balikpapan Selatan,","6,37M",3,3,500,350
"Balikpapan Utara,","1,75M",4,2,216,170
"Balikpapan Utara,",450Jt,2,1,120,120
"Balikpapan Utara,",330Jt,2,1,84,36
"Balikpapan Utara,",450Jt,2,1,96,40
"Balikpapan Utara,",470Jt,2,1,140,45
"Balikpapan Utara,",550Jt,2,1,96,45
"Balikpapan Selatan,","2,50M",4,3,105,105
"Balikpapan Utara,",760Jt,4,2,156,156
"Balikpapan Selatan,",Rp 5M,5,4,276,276
"Balikpapan Selatan,",650Jt,2,1,84,84
"Balikpapan Selatan,","1,90M",3,2,72,72
"Balikpapan Selatan,",950Jt,3,2,198,198
"Balikpapan Kota,",Rp 12M,6,6,780,780
"Balikpapan Selatan,",Rp 5M,6,4,276,276
"Balikpapan Selatan,","6,60M",6,6,400,400
"Balikpapan Selatan,","1,60M",3,3,216,216
"Balikpapan Utara,","1,30M",3,3,135,135
"Balikpapan Selatan,","1,20M",5,3,260,260
"Balikpapan Utara,",750Jt,2,1,120,120
"Balikpapan Selatan,","2,85M",5,3,210,210
"Balikpapan Selatan,","2,30M",4,2,332,332
"Balikpapan Utara,",450Jt,2,1,120,45
"Balikpapan Selatan,","2,80M",5,3,296,296
"Balikpapan Selatan,","1,30M",4,3,200,200
"Balikpapan Selatan,","4,80M",6,5,395,395
"Balikpapan Selatan,","2,70M",5,4,180,180
"Balikpapan Selatan,",700Jt,2,1,104,50
"Balikpapan Utara,",380Jt,2,1,96,36
"Balikpapan Timur,",Rp 6M,2,1,720,90
"Balikpapan Utara,",Rp 3M,4,3,586,219
"Balikpapan Utara,",Rp 3M,3,3,318,200
"Balikpapan Selatan,","2,99M",3,3,60,220
"Balikpapan Utara,","2,15M",5,5,67,375
"Balikpapan Utara,","2,50M",3,3,27,105
"Balikpapan Utara,","1,75M",3,2,6,150
"Balikpapan Selatan,",795Jt,2,1,38,84
"Balikpapan Selatan,","2,10M",3,3,89,209
"Balikpapan Utara,","1,80M",6,3,4,204
"Balikpapan Selatan,","1,88M",3,2,18,98
"Balikpapan Utara,","1,80M",3,1,120,103
"Balikpapan Selatan,","1,60M",3,3,225,225
"Balikpapan Tengah,",880Jt,3,3,125,135
"Balikpapan Tengah,","4,50M",5,5,674,355
"Balikpapan Tengah,","5,20M",5,3,496,300
"Balikpapan Selatan,","5,50M",6,4,374,90
"Balikpapan Selatan,","1,50M",3,2,96,104
"Balikpapan Utara,","5,60M",2,3,870,260
"Balikpapan Tengah,","3,20M",5,4,210,245
"Balikpapan Timur,","1,95M",3,2,119,91
"Balikpapan Timur,","2,70M",3,2,105,119
"Balikpapan Selatan,","1,05M",3,2,145,120
"Balikpapan Tengah,","3,35M",5,4,220,340
"Balikpapan Selatan,","1,22M",3,2,72,50
"Balikpapan Selatan,","1,80M",5,2,150,230
"Balikpapan Selatan,","2,70M",3,2,150,219
"Balikpapan Selatan,","1,25M",3,2,120,140
"Balikpapan Tengah,",750Jt,2,1,105,56
"Balikpapan Selatan,",720Jt,2,1,96,36
"Balikpapan Kota,","1,55M",4,4,180,250
"Balikpapan Utara,","1,20M",3,2,157,111
"Balikpapan Selatan,","1,73M",3,4,205,180
"Balikpapan Selatan,","2,50M",8,8,340,200
"Balikpapan Utara,",950Jt,2,2,78,47
"Balikpapan Tengah,","1,25M",6,3,144,207
"Balikpapan Utara,","1,50M",3,2,160,120
"Balikpapan Utara,","3,20M",7,6,347,430
"Balikpapan Selatan,","1,70M",4,3,152,100
"Balikpapan Tengah,","6,65M",3,3,514,300
"Balikpapan Selatan,",Rp 2M,3,2,150,104
"Balikpapan Utara,","2,50M",4,3,200,105
"Balikpapan Tengah,","2,75M",4,3,240,110
"Balikpapan Timur,","2,75M",5,4,145,162
"Balikpapan Timur,","2,50M",3,3,555,250
"Balikpapan Tengah,","3,36M",6,4,495,320
"Balikpapan Timur,",885Jt,3,3,90,138
"Balikpapan Utara,","1,15M",2,2,78,47
"Balikpapan Selatan,","1,18M",4,2,120,150
"Balikpapan Timur,","4,50M",2,3,501,285
"Balikpapan Timur,","2,70M",4,3,311,225
"Balikpapan Selatan,",850Jt,2,2,90,54
"Balikpapan Selatan,","1,73M",3,2,205,180
"Balikpapan Selatan,",850Jt,3,1,95,60
"Balikpapan Utara,","5,60M",2,3,870,260
"Balikpapan Selatan,",900Jt,4,2,120,130
"Balikpapan Tengah,","2,70M",4,4,243,180
"Balikpapan Tengah,","1,35M",2,1,112,45
"Balikpapan Selatan,","1,85M",4,2,252,204
"Balikpapan Kota,","1,15M",3,2,90,90
"Balikpapan Timur,",800Jt,3,2,110,157
"Balikpapan Selatan,","1,25M",3,2,180,120
"Balikpapan Selatan,",515Jt,2,1,150,100
"Balikpapan Selatan,",Rp 10M,4,3,421,400
"Balikpapan Selatan,",Rp 7M,4,5,486,332
"Balikpapan Kota,","3,50M",2,2,940,500
"Balikpapan Kota,",950Jt,2,1,90,40
"Balikpapan Utara,","1,45M",4,3,130,190
"Balikpapan Selatan,","2,49M",3,2,295,120
"Balikpapan Utara,",850Jt,3,2,115,80
"Balikpapan Utara,",975Jt,3,2,105,100
"Balikpapan Utara,",850Jt,3,2,116,80
"Balikpapan Utara,","2,70M",4,3,318,318
"Balikpapan Selatan,","1,70M",3,2,126,126
"Balikpapan Utara,","4,67M",5,4,180,180
"Balikpapan Selatan,","2,70M",5,4,180,180
"Balikpapan Timur,",800Jt,2,3,104,104
"Balikpapan Selatan,",330Jt,2,1,140,140
"Balikpapan Selatan,",980Jt,3,1,160,100
"Balikpapan Selatan,",Rp 2M,2,1,324,120
"Balikpapan Selatan,",650Jt,2,1,90,45
"Balikpapan Selatan,",800Jt,3,3,162,90
"Balikpapan Selatan,",Rp 5M,4,2,330,200
"Balikpapan Selatan,","2,50M",4,3,340,200
"Balikpapan Selatan,","2,20M",5,4,200,200
"Balikpapan Selatan,","5,80M",6,4,625,500
"Balikpapan Selatan,","2,50M",3,2,135,135
"Balikpapan Selatan,","4,80M",6,5,395,250
"Balikpapan Selatan,","1,85M",3,2,204,142
"Balikpapan Utara,","1,50M",4,3,320,180
"Balikpapan Kota,","5,50M",9,3,668,120
"Balikpapan Selatan,","4,50M",4,5,554,355
"Balikpapan Tengah,","1,40M",5,4,294,250
"Balikpapan Tengah,",800Jt,4,4,300,150
"Balikpapan Selatan,","1,40M",4,4,153,258
"Balikpapan Utara,",450Jt,4,4,96,176
"Balikpapan Selatan,",930Jt,2,1,145,275
"Balikpapan Utara,",Rp 2M,9,9,170,320
"Balikpapan Tengah,",850Jt,3,3,130,280
"Balikpapan Kota,","2,80M",3,1,238,250
"Balikpapan Selatan,","1,65M",3,2,135,226
"Balikpapan Utara,","1,25M",3,2,72,142
"Balikpapan Utara,",950Jt,3,3,78,135
"Balikpapan Selatan,",700Jt,2,1,90,90
"Balikpapan Selatan,","1,30M",2,2,60,60
"Balikpapan Utara,","1,50M",3,2,340,410
"Balikpapan Utara,","9,80M",4,3,700,700
"Balikpapan Utara,","1,35M",4,2,150,150
"Balikpapan Utara,",870Jt,7,7,150,222
"Balikpapan Utara,","2,30M",3,2,294,294
"Balikpapan Selatan,","2,35M",4,4,135,170
"Balikpapan Selatan,","2,35M",3,3,135,170
"Balikpapan Tengah,",850Jt,3,2,213,180
"Balikpapan Selatan,","2,50M",3,2,105,210
"Balikpapan Selatan,",Rp 2M,3,2,204,142
"Balikpapan Selatan,",850Jt,3,1,160,100
"Balikpapan Selatan,","2,50M",6,4,150,234
"Balikpapan Selatan,","1,85M",3,3,140,190
"Balikpapan Selatan,","1,40M",2,2,78,80
"Balikpapan Tengah,",Rp 3M,5,2,427,220
"Balikpapan Selatan,","3,50M",4,2,240,320
"Balikpapan Selatan,","1,65M",4,2,175,250
"Balikpapan Kota,",900Jt,2,1,160,177
"Balikpapan Selatan,","1,55M",4,3,152,150
"Balikpapan Utara,",277Jt,2,1,72,36
"Balikpapan Selatan,","2,60M",4,3,220,120
"Balikpapan Timur,","1,70M",3,3,135,145
"Balikpapan Selatan,","1,10M",5,3,180,140
"Balikpapan Selatan,",690Jt,2,1,90,45
"Balikpapan Timur,",690Jt,2,1,90,45
"Balikpapan Selatan,","2,10M",3,3,128,117
"Balikpapan Barat,",695Jt,2,1,200,65
"Balikpapan Kota,",700Jt,4,2,149,100
"Balikpapan Utara,","1,35M",2,1,271,90
"Balikpapan Selatan,","1,20M",3,2,200,75
"Balikpapan Kota,",380Jt,2,1,122,70
"Balikpapan Selatan,","1,10M",3,2,150,102
"Balikpapan Selatan,",780Jt,5,3,120,140
"Balikpapan Selatan,","2,50M",4,4,315,210
"Balikpapan Selatan,",950Jt,2,1,96,60
"Balikpapan Selatan,",650Jt,3,1,81,81
"Balikpapan Utara,","3,20M",5,4,225,185
"Balikpapan Selatan,","4,20M",3,2,375,160
"Balikpapan Selatan,",950Jt,2,2,78,47
"Balikpapan Selatan,","4,25M",3,3,325,300
"Balikpapan Selatan,",680Jt,2,1,104,52
"Balikpapan Utara,","2,50M",3,2,294,150
"Balikpapan Selatan,","2,60M",4,3,105,100
"Balikpapan Selatan,",Rp 2M,5,5,332,200
"Balikpapan Utara,","2,80M",3,3,228,185
"Balikpapan Selatan,",550Jt,2,1,90,30
"Balikpapan Utara,","1,75M",3,2,180,90
"Balikpapan Selatan,",590Jt,2,2,150,100
"Balikpapan Selatan,",Rp 2M,3,2,160,104
"Balikpapan Selatan,",Rp 2M,3,2,204,140
"Balikpapan Utara,",875Jt,4,2,270,80
"Balikpapan Selatan,",675Jt,2,1,90,60
"Balikpapan Selatan,",380Jt,3,1,90,90
"Balikpapan Selatan,",Rp 5M,5,5,150,187
"Balikpapan Utara,",550Jt,2,1,196,87
"Balikpapan Selatan,",590Jt,2,2,109,80
"Balikpapan Selatan,","2,60M",4,4,165,300
"Balikpapan Selatan,",Rp 5M,4,3,400,380
"Balikpapan Selatan,","6,50M",3,3,673,500
"Balikpapan Selatan,","3,50M",3,3,363,130
"Balikpapan Tengah,",Rp 1M,3,2,319,150
"Balikpapan Selatan,","1,20M",4,4,150,180
"Balikpapan Tengah,","1,30M",6,3,209,339
"Balikpapan Selatan,","1,20M",4,2,120,144
"Balikpapan Selatan,",450Jt,2,1,96,42
"Balikpapan Timur,",880Jt,3,2,90,70
"Balikpapan Selatan,","1,50M",3,3,150,200
"Balikpapan Selatan,","1,50M",3,3,160,160
"Balikpapan Kota,","1,50M",4,2,105,96
"Balikpapan Kota,","4,50M",5,4,400,236
"Balikpapan Utara,","1,60M",3,3,90,120
"Balikpapan Utara,","1,40M",3,2,96,104
"Balikpapan Utara,","1,10M",3,2,100,60
"Balikpapan Utara,","2,10M",4,3,200,220
"Balikpapan Selatan,",700Jt,3,2,150,80
"Balikpapan Utara,","1,60M",7,5,224,72
"Balikpapan Selatan,",500Jt,2,1,84,45
"Balikpapan Kota,",730Jt,2,1,120,70
"Balikpapan Timur,","1,90M",5,5,180,230
"Balikpapan Selatan,",850Jt,3,2,198,198
"Balikpapan Selatan,","2,50M",15,14,200,460
"Balikpapan Selatan,","2,50M",3,3,150,200
